POD_EVTDESC_VAMPIRE_FRENZY;You are overcome by the Beast and frenzy!;;;;;;;;;;;;;;x
POD_EVTOPTA_VAMPIRE_FRENZY;Oh no! What I have a done!?!;;;;;;;;;;;;;;x
POD_EVTDESC_VAMPIRE_FRENZY_PASSES;I was able to get control of myself.  The frenzy is fading.  I am myself, again.;;;;;;;;;;;;;;x
POD_EVTOPTA_VAMPIRE_FRENZY_PASSES;At least it over, for now...;;;;;;;;;;;;;;x
POD_EVTDESC_VAMPIRE_FRENZY_KILL_MORTAL;In my frenzy, I killed a human being!;;;;;;;;;;;;;;x
POD_EVTOPTA_VAMPIRE_FRENZY_KILL_MORTAL;How many more must die to saite the beast?;;;;;;;;;;;;;;x
POD_EVTDESC_VAMPIRE_FRENZY_WOUND_SUPERNATURAL;In my frenzy, I have have injured a supernatural being!;;;;;;;;;;;;;;x
POD_EVTOPTA_VAMPIRE_FRENZY_WOUND_SUPERNATURAL;They might seek revenge!;;;;;;;;;;;;;;x
POD_EVTDESC_VAMPIRE_FRENZY_ELYSIUM_BREACH;I went into frenzy in Elysium, disturbing the peace.;;;;;;;;;;;;;;x
POD_EVTOPTA_VAMPIRE_FRENZY_ELYSIUM_BREACH;How embarrassing!;;;;;;;;;;;;;;x
POD_EVTDESC_VAMPIRE_FRENZY_MASQUERADE_BREACH;I have violated the Masquerade and accidentally revealed my true nature to the kine during a frenzy!;;;;;;;;;;;;;;x
POD_EVTOPTA_VAMPIRE_FRENZY_MASQUERADE_BREACH;They know too much!;;;;;;;;;;;;;;x
