autobuild_startbuilding.1082.desc;Construction of Small Mercenary Garrison has been ordered in [This.Location.GetName].;La construction de Petite garnison mercenaire a t commande dans [This.Location.GetName].;Aufbau von Kleine Sldnergarnison wurde in [This.Location.GetName] geordnet.;;La construccin de Guarnicin mercenaria pequea  ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.1083.desc;Construction of Medium Mercenary Garrison has been ordered in [This.Location.GetName].;La construction de Garnison mercenaire moyenne a t commande dans [This.Location.GetName].;Aufbau von Mittlere Sldnergarnison wurde in [This.Location.GetName] geordnet.;;La construccin de Guarnicin mercenaria mediana ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.1084.desc;Construction of Large Mercenary Garrison has been ordered in [This.Location.GetName].;La construction de Grande garnison mercenaire a t commande dans [This.Location.GetName].;Aufbau von Groe Sldnergarnison wurde in [This.Location.GetName] geordnet.;;La construccin de Guarnicin mercenaria grande ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.1085.desc;Construction of Small Radhanite Compound has been ordered in [This.Location.GetName].;La construction de Petit quartier radhanite a t commande dans [This.Location.GetName].;Aufbau von Kleiner Rhadaniten-Posten wurde in [This.Location.GetName] geordnet.;;La construccin de Pequeo recinto radanita ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.1086.desc;Construction of Radhanite Compound has been ordered in [This.Location.GetName].;La construction de Quartier radhanite a t commande dans [This.Location.GetName].;Aufbau von Rhadaniten-Posten wurde in [This.Location.GetName] geordnet.;;La construccin de Recinto radanita ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.1087.desc;Construction of Large Radhanite Compound has been ordered in [This.Location.GetName].;La construction de Grand quartier radhanite a t commande dans [This.Location.GetName].;Aufbau von Groer Rhadaniten-Posten wurde in [This.Location.GetName] geordnet.;;La construccin de Gran recinto radanita ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.1088.desc;Construction of Merchant Enclave has been ordered in [This.Location.GetName].;La construction de Enclave marchande a t commande dans [This.Location.GetName].;Aufbau von Handelsenklave wurde in [This.Location.GetName] geordnet.;;La construccin de Enclave Mercante ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.1089.desc;Construction of Merchant Enclave has been ordered in [This.Location.GetName].;La construction de Enclave marchande a t commande dans [This.Location.GetName].;Aufbau von Handelsenklave wurde in [This.Location.GetName] geordnet.;;La construccin de Enclave Mercante ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.1090.desc;Construction of Merchant Enclave has been ordered in [This.Location.GetName].;La construction de Enclave marchande a t commande dans [This.Location.GetName].;Aufbau von Handelsenklave wurde in [This.Location.GetName] geordnet.;;La construccin de Enclave Mercante ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.1091.desc;Construction of Garrison has been ordered in [This.Location.GetName].;La construction de Garnison a t commande dans [This.Location.GetName].;Aufbau von Garnison wurde in [This.Location.GetName] geordnet.;;La construccin de Guarnicin ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.1092.desc;Construction of Garrison has been ordered in [This.Location.GetName].;La construction de Garnison a t commande dans [This.Location.GetName].;Aufbau von Garnison wurde in [This.Location.GetName] geordnet.;;La construccin de Guarnicin ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.1093.desc;Construction of Garrison has been ordered in [This.Location.GetName].;La construction de Garnison a t commande dans [This.Location.GetName].;Aufbau von Garnison wurde in [This.Location.GetName] geordnet.;;La construccin de Guarnicin ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.1094.desc;Construction of Merchant Port has been ordered in [This.Location.GetName].;La construction de Port marchand a t commande dans [This.Location.GetName].;Aufbau von Handelshafen wurde in [This.Location.GetName] geordnet.;;La construccin de Puerto Mercante ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.1095.desc;Construction of Merchant Port has been ordered in [This.Location.GetName].;La construction de Port marchand a t commande dans [This.Location.GetName].;Aufbau von Handelshafen wurde in [This.Location.GetName] geordnet.;;La construccin de Puerto Mercante ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.1096.desc;Construction of Merchant Port has been ordered in [This.Location.GetName].;La construction de Port marchand a t commande dans [This.Location.GetName].;Aufbau von Handelshafen wurde in [This.Location.GetName] geordnet.;;La construccin de Puerto Mercante ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.1097.desc;Construction of Silk Road Trade Post has been ordered in [This.Location.GetName].;La construction de Comptoir - Route de la soie a t commande dans [This.Location.GetName].;Aufbau von Handelsposten (Seidenstrae) wurde in [This.Location.GetName] geordnet.;;La construccin de Puesto comercial de la Ruta de la seda ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.1098.desc;Construction of Silk Road Market has been ordered in [This.Location.GetName].;La construction de March de la Route de la soie a t commande dans [This.Location.GetName].;Aufbau von Markt (Seidenstrae) wurde in [This.Location.GetName] geordnet.;;La construccin de Mercado de la Ruta de la seda  ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
