#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
gov_coterie_vampires;Coterie;;;;;;;;;;;;;
gov_princedom_vampires;Princedom;;;;;;;;;;;;;
gov_kingdom_vampires;Fiefdom;;;;;;;;;;;;;
gov_empire_vampires;Empire of the Night;;;;;;;;;;;;;
gov_promethean;New Carthage;;;;;;;;;;;;;
gov_tremere;Magocracy;;;;;;;;;;;;;
gov_tzimisce;Voivodate;;;;;;;;;;;;;
gov_giovanni;Eternal Family;;;;;;;;;;;;;
gov_baali;Gomorrah;;;;;;;;;;;;;
gov_einherjar;Valhalla;;;;;;;;;;;;;
gov_free_state;Free State;;;;;;;;;;;;;
gov_ashirra;Eternal Iqta;;;;;;;;;;;;;
gov_cult;Blood Cult;;;;;;;;;;;;;
