#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
RULE_PREDATOR_TYPES;Vampire Predator Types;;;;;;;;;;;;;x
RULE_GROUP_PREDATOR_TYPES;PoD: Vampire Edition Rules;;;;;;;;;;;;;x
RULE_PREDATOR_TYPE_V5;V5;;;;;;;;;;;;;x
RULE_PREDATOR_TYPE_V5_DESC;Vampire: the Masquerade 5th edition. Vampires have preferred types of being predators.;;;;;;;;;;;;;x
RULE_PREDATOR_TYPE_OFF;Off;;;;;;;;;;;;;x
RULE_PREDATOR_TYPE_OFF_DESC;Predator Types will NOT be used.;;;;;;;;;;;;;x
predatortype_decision;Choose Prey;;;;;;;;;x
predatortype_decision_desc;Choosing your predator type defines our primary prey and the way you hunt.  You can change this as time goes on.;;;;;;;;;x
predatortype_farmer;Predator Type: Farmer;;;;;;;;;;;;;x
predatortype_farmer_desc;This vampire prefers to feed from animals.;;;;;;;;;;;;;x
predatortype_bloodleech;Predator Type: Bloodleech;;;;;;;;;;;;;x
predatortype_bloodleech_desc;This vampire prefers to feed on the blood of other vampires!;;;;;;;;;;;;;x
predatortype_phlebotomist;Predator Type: Phlebotomist;;;;;;;;;;;;;x
predatortype_phlebotomist_desc;This vampire acquires vitae under the guise of a doctor performing bloodletting.;;;;;;;;;;;;;x
predatortype_bedlamite;Predator Type: Bedlamite;;;;;;;;;;;;;x
predatortype_bedlamite_desc;This vampire preys upon the mad.  They may also be insane, or atleast appear as such to their prey.;;;;;;;;;;;;;x
predatortype_cenobite;Predator Type: Cenobite;;;;;;;;;;;;;x
predatortype_cenobite_desc;This vampire has a herd at religious institution like a monestary.;;;;;;;;;;;;;x
predatortype_alleycat;Predator Type: Alleycat;;;;;;;;;;;;;x
predatortype_alleycat_desc;This vampire stalks and violently attacks mortals to gain the blood.  It is a vulgar approach.;;;;;;;;;;;;;x
predatortype_cauchemar;Predator Type: Cauchemar;;;;;;;;;;;;;x
predatortype_cauchemar_desc;This vampire feeds only upon those who are asleep.;;;;;;;;;;;;;x
predatortype_familias;Predator Type: Familias;;;;;;;;;;;;;x
predatortype_familias_desc;This vampire feeds almost exclusively from one particular family dynasty.  They may even be related to the family; atleast that is what the family thinks.;;;;;;;;;;;;;x
predatortype_footpad;Predator Type: Footpad;;;;;;;;;;;;;x
predatortype_footpad_desc;This lick runs with the lowlifes of society, taking the blood of the impoverished. If they disappear, the authorities show no interest.;;;;;;;;;;;;;x
predatortype_consensualist;Predator Type: Consensualist;;;;;;;;;;;;;x
predatortype_consensualist_desc;This vampire only feeds from the willing.  This greatly complicates the Masquerade.;;;;;;;;;;;;;x
predatortype_osiris;Predator Type: Osiris;;;;;;;;;;;;;x
predatortype_osiris_desc;This vampire leads a blood cult, like in ancient times.  The kine worship and offer themselves freely to this blood god.;;;;;;;;;;;;;x
predatortype_siren;Predator Type: Siren;;;;;;;;;;;;;x
predatortype_siren_desc;This vampire seduces lovers to drain their blood through the kiss.;;;;;;;;;;;;;x
predatortype_gentry;Predator Type: Gentry;;;;;;;;;;;;;x
predatortype_gentry_desc;This vampire has a position of some status in mortal society.  They use that status to hunt the rich and powerful.  No one will believe that someone of such refinement is a monster.;;;;;;;;;;;;;x
EVTTITLE_POD_VAMP_PREDATORYPE_EVENTS_1;How Do You Hunt?;;;;;;;;;;;;;x
EVTDESC_POD_VAMP_PREDATORYPE_EVENTS_1;A vampire is a predator of the night. The way I hunt may help me develop other skills and abilities to stalk my chosen prey.  It may also impact how well I can keep the Tradition of the Silence of Blood--The Masquerade. Upon what do I feed?;;;;;;;;;;;;;x
EVTOPTA_POD_VAMP_PREDATORYPE_EVENTS_1;Kine;;;;;;;;;;;;;x
EVTOPTB_POD_VAMP_PREDATORYPE_EVENTS_1;Animals;;;;;;;;;;;;;x
EVTOPTC_POD_VAMP_PREDATORYPE_EVENTS_1;Kindred;;;;;;;;;;;;;x
EVTTOOLTIP_POD_VAMP_PREDATORYPE_EVENTS_2;You hunger for the blood of humans. This leads to more questions...;;;;;;;;;;;;;x
EVTTOOLTIP_POD_VAMP_PREDATORYPE_EVENTS_3;You prefer to feed on animals. Its no more harmful than kine eating a steak.;;;;;;;;;;;;;x
EVTTOOLTIP_POD_VAMP_PREDATORYPE_EVENTS_4;You prefer to slake your thirst from the veins of other vampires--deep, thick, potent blood.;;;;;;;;;;;;;x
EVTTITLE_POD_VAMP_PREDATORYPE_EVENTS_2;Sating the Hunger;;;;;;;;;;;;;x
EVTDESC_POD_VAMP_PREDATORYPE_EVENTS_2;I do not deny the nature of what I have become.  A vampire drinks the blood of living people.  It is the blood in their veins that calls to the Beast.  I look at them and see their skin flush with blood.  I can smell their blood inside them. I can not look at them without feeling the hunger grow. It is always growing. How will I hunt these hapless mortals?;;;;;;;;;;;;;x
EVTOPTA_POD_VAMP_PREDATORYPE_EVENTS_2;I fight for my food. I take blood by my might.;;;;;;;;;;;;;x
