#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITLE_POD_VAMP_DUEL_EVENTS_1;The Vanquished Vampire;;;;;;;;;;;;;x
EVTDESC_POD_VAMP_DUEL_EVENTS_1;I have vanquished [vamp_duel_loser.GetTitledFirstName] in personal combat!  What shall be [vamp_duel_loser.GetHerHis] fate?;;;;;;;;;;;;;x
EVTOPTA_POD_VAMP_DUEL_EVENTS_1;Destroy [vamp_duel_loser.GetFirstName];;;;;;;;;;;;;x
EVTOPTB_POD_VAMP_DUEL_EVENTS_1;Diablerize [vamp_duel_loser.GetFirstName];;;;;;;;;;;;;x
EVTOPTC_POD_VAMP_DUEL_EVENTS_1;Stake [vamp_duel_loser.GetFirstName];;;;;;;;;;;;;x
EVTOPTD_POD_VAMP_DUEL_EVENTS_1;Release [vamp_duel_loser.GetFirstName];;;;;;;;;;;;;x
EVTTOOLTIP_POD_VAMP_DUEL_EVENTS_2;[vamp_duel_loser.GetFirstName] will face the final death. As victor of the duel, I will execute [vamp_duel_loser.GetTitledFirstName].;;;;;;;;;;;;;x
EVTTITLE_POD_VAMP_DUEL_EVENTS_2;Destruction!;;;;;;;;;;;;;x
EVTDESC_POD_VAMP_DUEL_EVENTS_2;The traditions of the Kindred state: "Thou art forbidden to destroy another of thy kind."  As [vamp_duel_victor.GetTitle], I claim the Right of Destruction.  It is the Final Death for [vamp_duel_loser.GetFirstName];;;;;;;;;;;;;x
EVTOPTA_POD_VAMP_DUEL_EVENTS_2;[vamp_duel_loser.GetFirstName] crumbles into ash.;;;;;;;;;;;;;x
EVTTOOLTIP_POD_VAMP_DUEL_EVENTS_3;I will diablerize [vamp_duel_loser.GetTitledFirstName]. This will devour [vamp_duel_loser.GetHerHis] soul.  I will become publicly known as a diabolist and be less trusted by other kindred, but on the otherhand my blood will grow stronger through the act.  The beast wants this to happen.;;;;;;;;;;;;;x
EVTTITLE_POD_VAMP_DUEL_EVENTS_3;Diablerie!;;;;;;;;;;;;;x
EVTOPTA_POD_VAMP_DUEL_EVENTS_3;You devour the soul of [vamp_duel_loser.GetFirstName]!;;;;;;;;;;;;x
EVTDESC_POD_VAMP_DUEL_EVENTS_3;Your fangs sink deep into the body of [vamp_duel_loser.GetTitledFirstName]. You suck down the thick kindred blood like sucking marrow from a bone. It is ecstatic! Euphoric! The beast howls in delight inside your mind.;;;;;;;;;;;;;x
EVTTOOLTIP_POD_VAMP_DUEL_EVENTS_4;By driving a wooden stake through the heart of [vamp_duel_loser.GetTitledFirstName], [vamp_duel_loser.GetSheHe] will be incapacitated.  While [vamp_duel_loser.GetSheHe] can see and hear what is happening, [vamp_duel_loser.GetSheHe] will be immobilized. I will take [vamp_duel_loser.GetHerHim] as my prisoner, and they will be afflicted by paralysis until the stake is removed.;;;;;;;;;;;;;x
EVTTITLE_POD_VAMP_DUEL_EVENTS_4;Staked!;;;;;;;;;;;;;x
EVTDESC_POD_VAMP_DUEL_EVENTS_4;There is sound of breaking ribs as I thrust the wooden stake into the heart of [vamp_duel_loser.GetFirstName]. [vamp_duel_loser.GetSheHe] won't be going anywhere for awhile. ;;;;;;;;;;;;;x
EVTOPTA_POD_VAMP_DUEL_EVENTS_4;I'll decide what to do with [vamp_duel_loser.GetTitledFirstName], later.;;;;;;;;;;;;;x
EVTTOOLTIP_POD_VAMP_DUEL_EVENTS_5;I will spare [vamp_duel_loser.GetTitledFirstName], and in return [vamp_duel_loser.GetSheHe] will owe me a boon.;;;;;;;;;;;;;x
EVTTITLE_POD_VAMP_DUEL_EVENTS_5;Released!;;;;;;;;;;;;;x
EVTDESC_POD_VAMP_DUEL_EVENTS_5;Look at this poor wretch!  As mighty as I am in combat, I am not without mercy. I release, [vamp_duel_loser.GetTitledFirstName] for a boon.;;;;;;;;;;;;;x
EVTOPTA_POD_VAMP_DUEL_EVENTS_5;[vamp_duel_loser.GetSheHeCap] is fortuante, this night.;;;;;;;;;;;;;x
EVTOPTC_HFP_10105_vamp;I have another fate in mind for this kindred.;;;;;;;;;;;;;x
EVTTOOLTIP_POD_VAMP_DUEL_EVENTS_6;I will spare [vamp_duel_loser.GetTitledFirstName], and in return [vamp_duel_loser.GetSheHe] will owe me a boon.;;;;;;;;;;;;;x
EVTTITLE_POD_VAMP_DUEL_EVENTS_6;Ouch!;;;;;;;;;;;;;x
EVTDESC_POD_VAMP_DUEL_EVENTS_6;After besting me in the fight, [vamp_duel_victor.GetTitledFirstName] drove a stale through my heart.  I can not move.  I am immobilized.;;;;;;;;;;;;;x
EVTOPTA_POD_VAMP_DUEL_EVENTS_6;What will [vamp_duel_victor.GetSheHe] do with me?;;;;;;;;;;;;;x
duelbalance;Duel Balance;;;;;;;;;;;;;x
duelbalance_desc;An attribute to globally rebalance duels to bring more characters under a 100 combat rating. Should be hidden to the player.;;;;;;;;;;;;;x
